"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XR_007068865.1",1.8,-4.00334300983871,4.43270975982594,-0.903136732777179,0.366453330793278,0.618041650149182
"NM_001377130.1",6.34670038083211,6.48108958238703,3.8758298495172,1.67218114159329,0.0944886080212989,0.592129891090382
"NM_001377129.1",2.56624900453377,-4.51820845850069,4.42513147052443,-1.02103372263542,0.307238461872084,0.592129891090382
"XM_047443008.1",2,4.81562705239985,4.35233968089928,1.10644559144447,0.268533701381755,0.592129891090382
"XM_011532494.2",2.6,-4.53431992182298,4.42493505383776,-1.0247201069969,0.30549527284143,0.592129891090382
"XM_047443013.1",2,-4.15549575862689,4.43018395791856,-0.937996209209171,0.348246358223378,0.597874278719782
"XM_047443007.1",3.14234571983727,-4.80831770952153,4.42190859390589,-1.08738514318188,0.276866634242909,0.592129891090382
"XM_011532493.2",3.29946300582913,-4.88041251344637,4.42120296279348,-1.10386529515097,0.26965157538119,0.592129891090382
"XM_047443005.1",3.14234571983727,-4.80831770952153,4.42190859390589,-1.08738514318188,0.276866634242909,0.592129891090382
"XM_017003191.1",1.85740449684735,4.70798132336377,4.35422048881461,1.08124550317512,0.279587921903605,0.592129891090382
"XM_047443015.1",2.8,5.30091815678253,4.34539760491204,1.21989254810431,0.222505611108917,0.592129891090382
"NM_001138.2",28.8226147892962,0.057164238658047,2.73869955798462,0.0208727673290726,0.98334715041355,0.991571063222196
"XM_047433694.1",2.73189353842067,0.233108901277857,3.70549244316973,0.062909020825975,0.949838951494733,0.988028457888941
"NM_032139.3",31.5545083277169,0.0725051378716894,2.73461379037785,0.0265138492780259,0.978847487356349,0.991571063222196
"XM_011537911.3",2.56624900453377,-4.51820845850069,4.42513147052443,-1.02103372263542,0.307238461872084,0.592129891090382
"XM_011537913.3",11.4165849780952,-6.66993894022902,3.58333747354201,-1.86137615825394,0.0626910750399755,0.592129891090382
"XM_011537915.3",2.4765393291298,5.123130571491,4.34767567305636,1.17836079706689,0.23865279956603,0.592129891090382
"XM_011537918.3",2.76756946740846,-0.711010005897215,3.7716924937057,-0.18851218838327,0.850475161852668,0.953712031210506
"XM_011537916.3",2.6,-4.53431992182298,4.42493505383776,-1.0247201069969,0.30549527284143,0.592129891090382
"NM_001286616.1",5.6,6.30073902329949,4.33670260348026,1.45288704331329,0.146255118942994,0.592129891090382
"XM_024448841.2",4.12756554854966,5.86022753659041,4.33981023036206,1.35034188720771,0.176906342165202,0.592129891090382
"NM_170731.5",0.61913483228245,3.12213615682061,4.40626421723858,0.70856762166143,0.478592834969133,0.69809781942866
"NM_001143805.1",7.65491897406877,3.0449423668003,3.5560361290044,0.856274305529286,0.391846070206028,0.623099488688274
"NM_001143806.1",3.33874232732709,-4.89580294955123,4.42105682719885,-1.10738294957705,0.268128394515111,0.592129891090382
"NM_170732.4",11.6,-1.35287578017045,4.13797636945055,-0.326941398254066,0.743712208855724,0.885154408085953
"NM_001143807.2",4.94919450874369,-5.46493867292955,4.41661277326361,-1.23735970380109,0.215953571800598,0.592129891090382
"NM_170733.4",7.51297943430178,-2.0666013714413,4.13065687252284,-0.500308167736795,0.616858103822,0.828876542956284
"NM_001143808.2",2,-4.15549575862689,4.43018395791856,-0.937996209209171,0.348246358223378,0.597874278719782
"NM_001143809.2",1.65102621941987,4.53800018608888,4.35748959392835,1.04142536390954,0.297678175936817,0.592129891090382
"NM_001143810.2",2.84185161327218,-0.706665514382861,4.15459319901071,-0.170092589221764,0.864937321537995,0.955487400077163
"NM_001143813.2",3.48276650615297,-4.95834680816161,4.42047869469028,-1.12167644063467,0.262000037128127,0.592129891090382
"NM_001098517.2",17.9689218977576,-0.198508324701657,3.66488263461856,-0.0541649882117759,0.956803715076015,0.988028457888941
"XM_047426695.1",12.8,0.585585918017775,4.13365501295127,0.141662987400511,0.887346211800396,0.956322195683104
"XM_054368269.1",0.785586429959316,-2.80716512591489,4.46516577859047,-0.628681053539974,0.529557884369118,0.749884887354809
"NM_001375961.1",13.9339438259771,-0.56225996986152,4.15037960127193,-0.135471938443705,0.892238749580628,0.956322195683104
"NM_001375960.1",8.24865751457282,-6.20086252721554,4.4129378009071,-1.40515520657031,0.159975130713657,0.592129891090382
"NM_001375964.1",10.5188185662751,-1.2772969500687,4.13308966962082,-0.309041673946038,0.757289826150079,0.893517187018597
"NM_001375968.1",6.4,6.49336029631858,4.33561435942479,1.49767939627824,0.134216567458391,0.592129891090382
"NM_001381964.1",4.37309779344019,-5.28589404400179,4.11037206988159,-1.28598918884588,0.198446834775497,0.592129891090382
"XM_047447872.1",0.396396607489829,-1.81721774412027,4.52138895775646,-0.401915818589954,0.687745980615853,0.885154408085953
"NM_001256505.2",1.4,-3.64034815290075,4.43992113903712,-0.819912795498488,0.412265821856143,0.629842033456309
"NM_001742.4",22.3195483909569,0.803490529262531,2.75294402788043,0.291865915588978,0.7703891447755,0.900334301725585
"NM_001164737.3",9.23495993675997,-2.45496550690163,3.20341960738221,-0.766357770066779,0.443463452947159,0.651756892967794
"NM_001370546.1",8.24865751457282,-6.20086252721554,4.4129378009071,-1.40515520657031,0.159975130713657,0.592129891090382
"NM_001424094.1",2,4.81562705239985,4.35233968089928,1.10644559144447,0.268533701381755,0.592129891090382
"NM_001424097.1",10.8,0.263744782502339,4.12697579327877,0.063907518656125,0.949043865497528,0.988028457888941
"NM_001424095.1",2.6,-4.53431992182298,4.42493505383776,-1.0247201069969,0.30549527284143,0.592129891090382
"NM_016083.6",6.55675928987795,1.41936403286613,4.08912022442779,0.347107435087641,0.728510607976234,0.885154408085953
"NM_001365869.2",2.6,-4.53431992182298,4.42493505383776,-1.0247201069969,0.30549527284143,0.592129891090382
"XM_047418171.1",10.2432159575367,-2.02267123846038,4.13338181627706,-0.489350204835952,0.624593783146692,0.829939684455194
"NM_033181.4",10.1125355939467,7.15311553631003,4.3328169329658,1.65091570841276,0.098755787808476,0.592129891090382
"XM_011534442.2",21.2621481966761,-0.54039811430311,2.75408145632663,-0.196217186336924,0.8444401767746,0.953712031210506
"NM_001168393.2",1.2382696645649,4.12279466313879,4.36728372910272,0.944018048487508,0.345160425334661,0.597874278719782
"NR_169283.1",8.44505412206265,-6.23481255926456,4.41280930660502,-1.41288964151077,0.157688175260173,0.592129891090382
"NR_158699.2",9.4,-6.38921396530433,4.41226156480582,-1.4480587497957,0.147600620709427,0.592129891090382
"NR_169292.1",0.981983037449146,-3.1293945658462,4.45366557049678,-0.702655939542657,0.482270192151147,0.69821206923375
"NM_001384631.1",1.44464794199238,4.34528293178025,4.36168949992787,0.996238483241897,0.319134285371128,0.597874278719782
"NM_001384630.1",7.42961798738939,6.70830642346791,4.33455950438262,1.54763279098723,0.121710731886559,0.592129891090382
"NM_001384629.1",5.13249800906754,-5.51737444426804,4.41628461479789,-1.2493249247978,0.211546255128286,0.592129891090382
"NM_001384623.1",2.38294550420993,-4.41141903845659,4.42649006464516,-0.996595264878385,0.318961005284011,0.597874278719782
"NM_001384614.1",9.2,7.01686926374363,4.33329490649947,1.61929188184702,0.105384476560176,0.592129891090382
"NM_001384634.1",1.2382696645649,4.12279466313879,4.36728372910272,0.944018048487508,0.345160425334661,0.597874278719782
"NR_156761.1",0.806378277427483,3.50525881289316,4.38813328454451,0.798804089483577,0.424404018910116,0.633341382065866
"NM_001363891.1",0.6,-2.41552861377866,4.48302476892904,-0.538816700393943,0.590013339026206,0.811791402631801
"NM_001363900.1",0.366607000647681,-1.71935195108111,4.52928011800713,-0.379608217262929,0.704236260159287,0.885154408085953
"NM_001363901.1",0.366607000647681,-1.71935195108111,4.52928011800713,-0.379608217262929,0.704236260159287,0.885154408085953
"XM_017023656.3",5.87210742902677,3.75244677937432,3.55099176978084,1.05673204069575,0.290633897685885,0.592129891090382
"XM_054313886.1",2,-4.15549575862689,4.43018395791856,-0.937996209209171,0.348246358223378,0.597874278719782
"XM_054313890.1",1.28312450226688,-3.51979650788269,4.44274313513105,-0.792257486157563,0.428210555383262,0.63414387591109
"XM_047438599.1",3.29946300582913,-4.88041251344637,4.42120296279348,-1.10386529515097,0.26965157538119,0.592129891090382
"XM_011526710.3",3.2,-4.83407604441071,4.42165243814022,-1.09327363741053,0.274273674070778,0.592129891090382
"XM_011526709.3",4.56396607489829,-5.3466213847373,4.11273438063613,-1.30001621546742,0.193595411586158,0.592129891090382
"NM_000164.4",4.33394382597715,5.93062602435254,4.33924792446874,1.36674053374782,0.171706647969126,0.592129891090382
"XM_011526713.3",2.74955250485761,-4.61561742640541,4.42397659902786,-1.04331868017106,0.296800722272001,0.592129891090382
"NM_001308418.2",6.8,6.58081316460119,4.33516617015435,1.51800713197734,0.129012600746196,0.592129891090382
"XM_047438601.1",1.9165175016192,-4.09571461636733,4.23035006974417,-0.968173921505983,0.332957516742597,0.597874278719782
"XM_011526716.3",3.14234571983727,-4.80831770952153,4.42190859390589,-1.08738514318188,0.276866634242909,0.592129891090382
"XM_054320523.1",3.48276650615297,-4.95834680816161,4.42047869469028,-1.12167644063467,0.262000037128127,0.592129891090382
"XM_054320528.1",3.30205243883973,5.53825115378466,4.34276126207102,1.27528335535155,0.20220896690515,0.592129891090382
"NM_194251.3",62.1661575365118,0.0503973846291122,2.72271209193664,0.0185099940527553,0.985232004831024,0.991571063222196
"NM_006794.4",40.7205547391076,-0.0391969529787432,2.72953910128494,-0.0143602826426964,0.988542545980317,0.991571063222196
"NM_001244190.2",4.4,-5.29373761913139,4.41777096431272,-1.19828249628485,0.230807058505632,0.592129891090382
"NM_001244191.2",2.16036268238812,-4.26757318836855,4.42848577465471,-0.963664197092581,0.335214309839702,0.597874278719782
"XM_047432006.1",2.88929588398476,5.34557047159056,4.34486804933613,1.2303182538322,0.218577951397645,0.592129891090382
"NM_014749.5",2.01633850356225,-4.17072740177257,4.42994539096574,-0.941485059901233,0.346456341924483,0.597874278719782
"XM_047432002.1",5.4,6.24827857522253,4.33702498746263,1.44068309343038,0.149674233357605,0.592129891090382
"XM_047432004.1",2.68291760655728,5.23863339919396,4.3461640774897,1.20534644016931,0.228069588652285,0.592129891090382
"XM_047432013.1",0.549910500971522,-2.30127660080295,4.489199009254,-0.512625213553491,0.608213512584047,0.825128821267867
"NM_001244193.2",1.76756946740846,-3.9779405197222,4.43315786232153,-0.897315332154461,0.369550677408789,0.618041650149182
"XM_047416268.1",1.3747762524288,-3.61517286410883,4.44049129387757,-0.814138036728803,0.415565877744369,0.629842033456309
"XM_047416262.1",2.4765393291298,5.123130571491,4.34767567305636,1.17836079706689,0.23865279956603,0.592129891090382
"XM_047416260.1",1.46642800259072,-3.71205283356025,4.43835030902992,-0.836358686246104,0.402953147118256,0.629842033456309
"XM_017008699.2",2.6,5.19402943827555,4.34673357712995,1.1949270287932,0.232115541535271,0.592129891090382
"XM_047416272.1",1.6,-3.8332314867061,4.43586568986981,-0.864145074423702,0.387508200493981,0.623099488688274
"XM_054351010.1",1.3747762524288,-3.61517286410883,4.44049129387757,-0.814138036728803,0.415565877744369,0.629842033456309
"XM_054351001.1",2.4765393291298,5.123130571491,4.34767567305636,1.17836079706689,0.23865279956603,0.592129891090382
"XM_054350998.1",2.06642800259072,-0.705716909893015,4.20867735855775,-0.167681399586984,0.866833929966911,0.955487400077163
"XM_054351015.1",1.6,-3.8332314867061,4.43586568986981,-0.864145074423702,0.387508200493981,0.623099488688274
"NM_173598.6",19.6525073816159,-7.45361571421904,3.57146781618812,-2.08698946702938,0.0368890866758033,0.592129891090382
"XM_011538225.4",8.66788765195429,6.93071220472328,4.33362127495319,1.59928885451536,0.109756434874545,0.592129891090382
"XM_017019210.3",5.8,6.35135857591247,4.33640242874988,1.46466078281934,0.143013489610761,0.592129891090382
"XM_011538226.4",2.4,5.07858287107694,4.34829163416878,1.16794900120533,0.242827336838374,0.592129891090382
"XM_011538229.4",5.57837964493897,-5.63620704885283,4.11879511645855,-1.36841160812558,0.171183272755639,0.592129891090382
